融资主体,count
深圳瑞识智能科技有限公司,5
三叶草生物制药有限公司,5
金冠电气股份有限公司,5
天津望圆智能科技股份有限公司,5
云从科技集团股份有限公司,5
深圳拜尔洛克生物技术有限公司,5
武汉爱博泰克生物科技有限公司,5
丹望医疗科技（上海）有限公司,5
诺思格（北京）医药科技股份有限公司,5
上海普惠米道斯医疗科技有限公司,5
湖南聚仁化工新材料科技有限公司,5
深圳高灯计算机科技有限公司,5
宁波博海深衡科技有限公司,5
上海捷氢科技股份有限公司,5
强联智创（北京）科技有限公司,5
天津华慧芯科技集团有限公司,5
北京高孚动力科技有限公司,5
深圳市欢创科技有限公司,5
奉加科技（上海）股份有限公司,5
合肥天港免疫药物有限公司,5
深圳华迈兴微医疗科技有限公司,5
深圳市灵明光子科技有限公司,5
青岛中科润美润滑材料技术有限公司,5
北京码牛科技股份有限公司,5
深圳市瞳学科技有限公司,5
大连高佳化工有限公司,5
深圳市万佳安物联科技股份有限公司,5
峰岹科技（深圳）股份有限公司,5
希格生科（深圳）有限公司,5
爱芯元智半导体（宁波）有限公司,5
上海云生未来技术集团有限公司,5
深圳芯能半导体技术有限公司,5
常州纵慧芯光半导体科技有限公司,5
深圳杉海创新技术有限公司,5
海杰亚（北京）医疗器械有限公司,5
上海显耀显示科技有限公司,5
深圳欣视界科技有限公司,5
沈阳和研科技股份有限公司,5
成都频岢微电子有限公司,5
河南仕佳光子科技股份有限公司,5
开元通信技术（厦门）有限公司,5
上海舶望制药有限公司,5
北京长木谷医疗科技股份有限公司,5
苏州珂玛材料科技股份有限公司,5
安元科技股份有限公司,5
Hesai Group,5
河南秋乐种业科技股份有限公司,5
广州中望龙腾软件股份有限公司,5
北京擎科生物科技股份有限公司,5
北京四维纵横数据技术有限公司,5
河北中瓷电子科技股份有限公司,5
深圳市江波龙电子股份有限公司,5
宁德时代新能源科技股份有限公司,5
拓烯科技（衢州）有限公司,5
板石智能科技（深圳）有限公司,5
胜科纳米（苏州）股份有限公司,5
常州第六元素材料科技股份有限公司,5
深圳市大族机器人有限公司,5
美芯晟科技（北京）股份有限公司,5
福瑞泰克（浙江）智能科技有限公司,5
杭摩新材料集团股份有限公司,5
合肥芯碁微电子装备股份有限公司,5
劢微机器人科技（深圳）有限公司,5
北京数码大方科技股份有限公司,5
上海稷以科技有限公司,5
北京燕东微电子股份有限公司,5
武汉慧联无限科技有限公司,5
厦门恒坤新材料科技股份有限公司,5
成都晓多科技有限公司,5
开拓药业有限公司,5
深圳微灵医疗科技有限公司,5
合肥芯测半导体有限公司,5
浙江天能新材料有限公司,5
北京中科昊芯科技有限公司,5
清云智通（北京）科技有限公司,5
合肥威迪变色玻璃有限公司,5
博泰车联网科技（上海）股份有限公司,5
变形积木（湖北）科技有限公司,5
上海橙科微电子科技有限公司,5
北京微纳星空科技有限公司,5
通富微电子股份有限公司,5
南京众智维信息科技有限公司,5
北京诺禾致源科技股份有限公司,5
深圳鑫茂新能源技术股份有限公司,5
北方华创科技集团股份有限公司,5
杭州众硅电子科技有限公司,5
深圳英美达医疗技术有限公司,5
苏州芯合半导体材料有限公司,5
英韧科技（上海）有限公司,5
西安因诺航空科技有限公司,5
深圳思谋信息科技有限公司,5
广州思林杰科技股份有限公司,5
河南银金达新材料股份有限公司,5
珠海金智维信息科技有限公司,5
杭州高光制药有限公司,5
北京佰才邦技术股份有限公司,5
兰洋（宁波）科技有限公司,5
杭州宏景智驾科技有限公司,5
安徽中科拓苒药物科学研究有限公司,5
广州麓鹏制药有限公司,5
华引芯（武汉）科技有限公司,5
深圳市纳设智能装备股份有限公司,5
浙江凯乐士科技集团股份有限公司,5
浙江新码生物医药有限公司,5
浙江金仪盛世生物工程有限公司,5
苏州新施诺半导体设备有限公司,5
武汉市聚芯微电子有限责任公司,5
上海康鹏科技股份有限公司,5
深圳永安在线科技有限公司,5
南京云信达科技有限公司,5
宁波勤邦新材料科技股份有限公司,5
苏州旗芯微半导体有限公司,5
江苏中慧元通生物科技股份有限公司,5
南京耀宇视芯科技有限公司,5
熠品（贵阳）质量科技有限公司,5
中科融合感知智能研究院（苏州工业园区）有限公司,5
长沙安牧泉智能科技有限公司,5
中微半导体设备（上海）股份有限公司,5
深圳微远医疗科技有限公司,4
徐工汉云技术股份有限公司,4
杭州佳量医疗科技有限公司,4
上海飞博激光科技股份有限公司,4
北京大橡科技有限公司,4
统信软件技术有限公司,4
丰凯利医疗器械（上海）有限公司,4
上海甄云信息科技有限公司,4
深圳微芯生物科技股份有限公司,4
杭州鸿钧微电子科技有限公司,4
深圳市格林晟科技股份有限公司,4
应脉医疗科技（上海）有限公司,4
江苏速豹动力科技有限公司,4
汇通达网络股份有限公司,4
福建冻品在线网络科技有限公司,4
神光光学集团有限公司,4
南京赛宁信息技术有限公司,4
深圳瑞德林生物技术有限公司,4
广州康立明生物科技股份有限公司,4
贵州安吉航空精密铸造有限责任公司,4
速度科技股份有限公司,4
嘉和美康（北京）科技股份有限公司,4
重庆希微科技有限公司,4
赛乐医药科技（上海）有限公司,4
苏州雄立科技有限公司,4
深圳市猿人创新科技有限公司,4
山东百多安医疗器械股份有限公司,4
广州酷旅旅行社有限公司,4
纳百科创（北京）技术开发有限公司,4
中国航发动力控制股份有限公司,4
浙江祥邦科技股份有限公司,4
杭州飞致云信息科技有限公司,4
深圳市元视芯智能科技有限公司,4
深圳核心医疗科技股份有限公司,4
北京安声科技有限公司,4
北京豪思生物科技股份有限公司,4
深圳市汇川技术股份有限公司,4
北京东远润兴科技有限公司,4
熠保科技（上海）有限公司,4
上海芯歌智能科技有限公司,4
深圳小阔科技有限公司,4
杭州皓阳生物技术有限公司,4
生合万物（上海）生物科技有限公司,4
赛卓电子科技（上海）股份有限公司,4
浙江德康医疗器械有限公司,4
深圳市道通科技股份有限公司,4
芯行纪科技有限公司,4
上海新相微电子股份有限公司,4
广东天元实业集团股份有限公司,4
江苏珩创纳米科技有限公司,4
杭州联芯通半导体有限公司,4
深圳市前海手绘科技文化有限公司,4
凯联医疗科技（上海）有限公司,4
睿思芯科（深圳）技术有限公司,4
安徽泽升科技有限公司,4
无锡芯享信息科技有限公司,4
安徽壹石通材料科技股份有限公司,4
苏州领慧立芯科技有限公司,4
江苏传智播客教育科技股份有限公司,4
上海麦克风文化传媒有限公司,4
南京汇聚新材料科技有限公司,4
北京鼎持生物技术有限公司,4
思路迪科技（上海）有限公司,4
天津智芯半导体科技有限公司,4
